x,y,codice_via,passocarra,numero_civ,gmrotation
11.0315754314789,45.8671603863149,1440,1,15,359.99954
11.0103473349075,45.8406237910381,1350,2,24,359.99954
11.0309531163569,45.8868538828862,3550,3,14,359.99954
11.0302379471813,45.8871427368427,2290,1,6,359.99954
11.0189926139283,45.8678611507064,520,2,7/BIS,359.99954
11.0205662375401,45.8829687488035,1950,1,14,359.99954
11.0396499365918,45.9014160385139,680,1,19,359.99954
11.0396040353773,45.901492543687,680,2,19/D,359.99954
11.036794628602,45.8914465196218,2510,2,1,359.99954
11.0424538626978,45.8881663859397,800,1,9,359.99954
11.0427379681092,45.891824198098,2190,1,35/A,359.99954
11.0318715662251,45.8671286555286,1440,1,14,359.99954
11.0101404336129,45.8406077853283,1350,1,26,359.99954
11.0304968853859,45.8857870990029,970,1,15,359.99954
11.0293954164905,45.8868673835135,2290,1,12/B,359.99954
11.0185438693812,45.8676459785441,520,2,7/C,359.99954
11.0202581422627,45.8827507895078,1950,1,16,359.99954
11.0395762308316,45.9015911278886,680,1,21,359.99954
11.0374327907295,45.8921076361706,2990,1,12,359.99954
11.0425848750084,45.888094351384,800,1,7,359.99954
11.0421565925386,45.8918817743674,2190,1,57/B,359.99954
11.0318803204069,45.8670715802235,1440,3,12,359.99954
11.0101440980078,45.8408552640777,1630,1,29,359.99954
11.031385086544,45.8868819852,3550,2,8/C,359.99954
11.0273442533194,45.887297322026,2290,1,28,359.99954
11.0201340718301,45.8826665029978,1950,2,18,359.99954
11.0394143874498,45.9019091623891,680,1,25,359.99954
11.0374319461845,45.8919056164638,2990,1,10,359.99954
11.0385997868034,45.8943629772954,2030,1,1,359.99954
11.0428115016299,45.8880089389161,800,1,5,359.99954
11.0470578506299,45.9035822822328,410,1,30,359.99954
11.0340571371206,45.8761392859981,1523,1,1/D,359.99954
11.0355044766213,45.887232130197,620,1,31/C,359.99954
11.0425095504683,45.8848504320064,2200,1,8/B,359.99954
11.0407817467711,45.8883576077348,2980,1,4,359.99954
