codice,strada,desvia,fumetto,vifraz,sensouni,tipo_arco,tipo_cod,tipo_stra
900,900,VIA A. DEGASPERI,VIA A. DEGASPERI,TRENTO,1,,0,
740,740,VIA DELLA CERVARA,VIA DELLA CERVARA,TRENTO,0,,0,
6260,6260,VIA MISSIONI AFRICANE,VIA MISSIONI AFRICANE,TRENTO,0,,0,
130,130,PIAZZETTA ANFITEATRO,PIAZZETTA ANFITEATRO,TRENTO,0,,0,
8037,8037,VIA DEL PRAOL,VIA DEL PRAOL,TRENTO,0,PRINCIPALE,0,
6412,6412,PIAZZA NATALE TOMMASI,PIAZZA NATALE TOMMASI,TRENTO,0,PRINCIPALE,0,
8770,8770,VIA MARGONE,VIA MARGONE,TRENTO,0,,0,
8911,8911,VIA DEI POMARI,VIA DEI POMARI,TRENTO,0,,0,
770,770,VIA E. CHINI,VIA E. CHINI,TRENTO,0,,0,
160,160,VIA AOSTA,VIA AOSTA,TRENTO,0,,0,
160,160,VIA AOSTA,VIA AOSTA,TRENTO,0,,0,
330,330,VIA BOLGHERA,VIA BOLGHERA,TRENTO,0,,0,
340,340,VIALE N. BOLOGNINI,VIALE N. BOLOGNINI,TRENTO,0,,0,
8001,8001,VIA DELLA BELINA,VIA DELLA BELINA,TRENTO,0,,0,
130,130,PIAZZETTA ANFITEATRO,PIAZZETTA ANFITEATRO,TRENTO,0,,0,
8750,8750,VIA DELLA CROCE,VIA DELLA CROCE,TRENTO,0,,0,
1700,1700,VIA G. MANCI,VIA G. MANCI,TRENTO,1,,0,
2490,2490,VIA A. POZZO,VIA A. POZZO,TRENTO,1,,0,
2990,2990,PIAZZA S. MARIA MAGGIORE,PIAZZA S. MARIA MAGGIORE,TRENTO,1,,0,
1120,1120,VIA FERSINA,VIA FERSINA,TRENTO,0,,0,
2180,2180,VIA P. OSS MAZZURANA,VIA P. OSS MAZZURANA,TRENTO,1,,0,
900,900,VIA A. DEGASPERI,VIA A. DEGASPERI,TRENTO,1,,0,
130,130,PIAZZETTA ANFITEATRO,PIAZZETTA ANFITEATRO,TRENTO,0,,0,
6453,6453,VIA DI PRAMORGHEN,VIA DI PRAMORGHEN,TRENTO,0,,0,
8413,8413,VIA PER CORTESANO,VIA PER CORTESANO,TRENTO,0,,0,
2810,2810,VICOLO SAN MARCO,VICOLO SAN MARCO,TRENTO,1,,0,
8497,8497,VIA AL PONTAT,VIA AL PONTAT,TRENTO,0,,0,
3502,3502,VIA DEI GIARDINI,VIA DEI GIARDINI,TRENTO,0,,0,
670,670,VIA DELLE CAVE,VIA DELLE CAVE,TRENTO,0,,0,
6290,6290,VIA DEGLI OLIVI,VIA DEGLI OLIVI,TRENTO,1,,0,
7515,7515,VIA ALLE VOLPARE,VIA ALLE VOLPARE,TRENTO,0,,0,
2460,2460,VIA DELLA PONTARA,VIA DELLA PONTARA,TRENTO,1,,0,
7263,7263,VIA DEL NESPOLAR,VIA DEL NESPOLAR,TRENTO,0,,0,
6453,6453,VIA DI PRAMORGHEN,VIA DI PRAMORGHEN,TRENTO,0,,0,
6453,6453,VIA DI PRAMORGHEN,VIA DI PRAMORGHEN,TRENTO,0,,0,
6453,6453,VIA DI PRAMORGHEN,VIA DI PRAMORGHEN,TRENTO,0,,0,
6453,6453,VIA DI PRAMORGHEN,VIA DI PRAMORGHEN,TRENTO,0,,0,
7230,7230,VIA VALNIGRA,VIA VALNIGRA,TRENTO,0,,0,
1355,1355,VIA H. GMEINER,VIA H. GMEINER,TRENTO,0,,0,
7340,7340,LOCALITA' PASSO CIMIRLO,LOCALITA' PASSO CIMIRLO,TRENTO,0,PRINCIPALE,0,
8139,8139,VIA GIUSEPPE A. SLOP,VIA GIUSEPPE A. SLOP,TRENTO,0,PRINCIPALE,0,
7080,7080,VIA GALASSA,VIA GALASSA,TRENTO,0,,0,
8486,8486,VIA DEI FRAGARI,VIA DEI FRAGARI,TRENTO,0,,0,
8503,8503,VIA DEL CESURET,VIA DEL CESURET,TRENTO,1,,0,
2430,2430,VIA DI PIETRASTRETTA,VIA DI PIETRASTRETTA,TRENTO,0,,0,
7010,7010,VIA ASIAGO,VIA ASIAGO,TRENTO,0,,0,
8510,8510,VIA DEL PRA DE L'AGNELA,VIA DEL PRA DE L'AGNELA,TRENTO,0,,0,
8521,8521,SALITA AI SPIAZZI,SALITA AI SPIAZZI,TRENTO,0,,0,
8421,8421,VIA SANTI PIETRO E PAOLO,VIA SANTI PIETRO E PAOLO,TRENTO,0,,0,
1470,1470,VIA DELLE LASTE,VIA DELLE LASTE,TRENTO,0,,0,
6470,6470,VIA PER L'OSSERVATORIO,VIA PER L'OSSERVATORIO,TRENTO,0,,0,
7210,7210,VIA TORRICELLE,VIA TORRICELLE,TRENTO,0,,0,
8482,8482,VIA DELLA FORNACE,VIA DELLA FORNACE,TRENTO,0,,0,
8466,8466,VICOLO DELLA ROGGIA,VICOLO DELLA ROGGIA,TRENTO,0,,0,
6450,6450,STRADA DI MONTEVACCINO,STRADA DI MONTEVACCINO,TRENTO,0,,0,
5790,5790,VIA NOCE,VIA NOCE,TRENTO,0,PRINCIPALE,0,
5790,5790,VIA NOCE,VIA NOCE,TRENTO,0,SECONDARIO,0,
2495,2495,VIA A. PRANZELORES,VIA A. PRANZELORES,TRENTO,0,,0,
3490,3490,P.ZZA ALESSANDRO VITTORIA,P.ZZA ALESSANDRO VITTORIA,TRENTO,1,,0,
2430,2430,VIA DI PIETRASTRETTA,VIA DI PIETRASTRETTA,TRENTO,0,,0,
7315,7315,VIA MADONNINA,VIA MADONNINA,TRENTO,0,SECONDARIO,0,
1400,1400,VIA DON GIUSEPPE GRAZIOLI,VIA DON GIUSEPPE GRAZIOLI,TRENTO,1,,0,
2470,2470,LARGO PORTA NUOVA,LARGO PORTA NUOVA,TRENTO,1,,0,
0,0,,,TRENTO,1,,1,SS 47 della Valsugana
6428,6428,VIA PER VILLAMONTAGNA,VIA PER VILLAMONTAGNA,TRENTO,0,PRINCIPALE,0,
8940,8940,VIA DI SANTA BRIGIDA,VIA DI SANTA BRIGIDA,TRENTO,0,,0,
8415,8415,VIA CASTEL DI CORTESANO,VIA CASTEL DI CORTESANO,TRENTO,0,,0,
1400,1400,VIA DON GIUSEPPE GRAZIOLI,VIA DON GIUSEPPE GRAZIOLI,TRENTO,1,PRINCIPALE,0,
8415,8415,VIA CASTEL DI CORTESANO,VIA CASTEL DI CORTESANO,TRENTO,0,,0,
6400,6400,VIA ALLA VEDUTA,VIA ALLA VEDUTA,TRENTO,0,,0,
0,0,,,TRENTO,1,,1,SS 47 della Valsugana
7115,7115,VIA DELLA ZIVERANA,VIA DELLA ZIVERANA,TRENTO,0,,0,
6470,6470,VIA PER L'OSSERVATORIO,VIA PER L'OSSERVATORIO,TRENTO,0,,0,
8525,8525,STRADA DELLA FACHINA,STRADA DELLA FACHINA,TRENTO,0,,0,
5790,5790,VIA NOCE,VIA NOCE,TRENTO,0,SECONDARIO,0,
6190,6190,VIA GREZONI,VIA GREZONI,TRENTO,0,,0,
8462,8462,VIA DELLA GUERRA RUSTICA,VIA DELLA GUERRA RUSTICA,TRENTO,0,,0,
8653,8653,STRADA DI VANEZE,STRADA DI VANEZE,TRENTO,0,,1,SP 85 del Monte Bondone
8053,8053,STRADA DI VASON,STRADA DI VASON,TRENTO,0,PRINCIPALE,1,SP 85 del Monte Bondone
8480,8480,VIA AL CANON,VIA AL CANON,TRENTO,0,,0,
