900,"VIA A. DEGASPERI","(11.127333 46.047543, 11.127305 46.04753, 11.127281 46.047513, 11.127261 46.047495, 11.127245 46.047473, 11.127234 46.04745, 11.12723 46.047424, 11.127231 46.047407, 11.127239 46.047382, 11.127254 46.047359, 11.127271 46.047342, 11.127284 46.047331)"
740,"VIA DELLA CERVARA","(11.127861 46.071043, 11.12796 46.070694, 11.127999 46.070508, 11.12802 46.070327)"
6260,"VIA MISSIONI AFRICANE","(11.126382 46.080053, 11.126274 46.080145)"
130,"PIAZZETTA ANFITEATRO","(11.125237 46.069206, 11.125229 46.069285)"
8037,"VIA DEL PRAOL","(11.058971 46.069524, 11.059032 46.069516, 11.05912 46.069514, 11.059221 46.069523, 11.059289 46.069531, 11.059393 46.069552, 11.059474 46.069569, 11.059527 46.069588, 11.059577 46.069611, 11.059647 46.069651, 11.059698 46.069691)"
6412,"PIAZZA NATALE TOMMASI","(11.153336 46.081888, 11.153342 46.081943)"
8770,"VIA MARGONE","(11.105042 46.026301, 11.104974 46.026208, 11.10492 46.026097, 11.10488 46.025948, 11.10484 46.02583, 11.104786 46.0257, 11.104723 46.025524, 11.10464 46.025286, 11.104606 46.02517, 11.104563 46.025104, 11.10431 46.024831, 11.104163 46.024665, 11.103997 46.02452, 11.103929 46.024463, 11.103766 46.024398, 11.103547 46.02432, 11.103346 46.024253, 11.10306 46.024182, 11.102897 46.024134, 11.102803 46.024101, 11.102669 46.024049, 11.102353 46.023907, 11.102219 46.023842, 11.102036 46.023755, 11.101854 46.023664, 11.10172 46.023608, 11.101548 46.023553, 11.101444 46.023514, 11.101244 46.023468, 11.101178 46.023452, 11.101057 46.023439, 11.101014 46.02343, 11.100986 46.023407, 11.100982 46.023376, 11.101015 46.0233, 11.101172 46.023052, 11.101297 46.022884, 11.10135 46.022791)"
8911,"VIA DEI POMARI","(11.107974 46.016274, 11.107797 46.016311, 11.10762 46.01635, 11.107235 46.016432)"
770,"VIA E. CHINI","(11.133197 46.053343, 11.133174 46.05354, 11.133132 46.053811, 11.133097 46.054011, 11.133065 46.054169)"
160,"VIA AOSTA","(11.126669 46.056146, 11.126652 46.056129, 11.126504 46.055983)"
160,"VIA AOSTA","(11.126669 46.056146, 11.12712 46.05594)"
