"Codice_via","Descrizione","Appellativo","Prenome","Denominazione","Nome","Ubicazione","CAP1","CAP2","Circoscrizione","Località"
3844,"P.GGIO GIUSEPPE SEBESTA","Passaggio","Giuseppe","Šebesta","Sebesta Giuseppe (Passaggio)","laterale di Via Adalberto Libera",38122,,,"Trento"
5630,"VIA DELL'ORA DEL GARDA","Via","dell'","òra del Garda","òra del Garda (Via dell')","Ghiaie (Gardolo), 1^ a destra della via principale che attraversa la zona industriale, senza uscita",38121,,"GARDOLO","Ghiaie (Gardolo)"
2520,"VIA G. A PRATO","Via","Giovanni","a Prato","a Prato Giovanni (Via)","2^ a sinistra di Via Piave fino a Viale Rovereto",38122,,"S.GIUSEPPE-S.CHIARA","Trento"
8485,"VIA DELL'ACQUEDOTTO","Via","dell'","acquedotto","acquedotto (Via dell')","Vigo Meano, 1^ a destra di Via alla Costa",38121,,"MEANO","Vigo Meano"
110,"VIA ALTIPIANI","Via",,"altipiani","altipiani (Via)","1^ a sinistra di Via Vicenza",38122,,"OLTREFERSINA","Trento"
5030,"VIA DELL'ASILO","Via","dell'","asilo","asilo (Via dell')","Roncafòrt, 3^ a destra di Via L. Caneppele",38121,,"GARDOLO","Roncafòrt"
5040,"VIA BASSA","Via",,"bassa","bassa (Via)","Gardolo, a destra del ramo sinistro di Via della Canova",38121,,"GARDOLO  / CENTRO STORICO PIEDICASTELLO","Canova"
8205,"VIA DELLA CANONICA","Via","della","canonica","canonica (Via della)","Vigolo Baselga, da Piazza di san Leonardo, lato campanile, senza uscita",38123,,"BONDONE","Vigolo Baselga"
7305,"VIA ALLA CASCATA","Via","alla","cascata","cascata (Via alla)","Povo, da Piazza G. Manci fino ed oltre la rotatoria con Via Sommarive e Via V. Marchesoni e termine in Strada della Valsugana",38123,,"POVO","Povo"
8804,"RACCORDO AL CASELLO SUD","Raccordo","al","casello sud","casello sud (Raccordo al)","dall'uscita n. 2 - Trento sud - di Tangenziale sud fino al casello dell'A22 e oltre fino a Via Stella, Ravina",38123,,,"Ravina"
8607,"VIA AL CASTAGNETO","Via","al","castagneto","castagneto (Via al)","Sardagna, al termine di Via D. Zeni a destra",38123,,"SARDAGNA","Sardagna"
8740,"VIA CENTRALE","Via",,"centrale","centrale (Via)","Ravina, 1^ a destra di Via M. Mazzonelli fino a Via Val Gola",38123,,"RAVINA-ROMAGNANO","Ravina"
8322,"VIA DELLA CHIESA","Via","della","chiesa","chiesa (Via della)","Baselga del Bondone, 1^ a destra di Via della Villa di Baselga",38123,,"BONDONE","Baselga del Bondone"
7060,"VIA DEI COLLI","Via","dei","colli","colli (Via dei)","Villazzano, al termine di Via A. Tambosi a destra fino a Piazza G.P. Nicolini",38123,,"VILLAZZANO","Villazzano"
830,"VIA DELLA COLLINA","Via","della","Collina","collina (Via della)","2^ a sinistra di Via dei Giardini fino a Via A. Avancini",38121,,"S.GIUSEPPE-S.CHIARA","Trento"
6404,"VICOLO ALLA CORTE","Vicolo","alla","corte","corte (Vicolo alla)","Tavernaro, da Piazza Natale Tommasi, senza uscita",38121,,"ARGENTARIO","Tavernaro"
8473,"VICOLO DEI CROZZI","Vicolo","dei","cròzzi","cròzzi (Vicolo dei)","Meano, da Piazza dell'Assunta a Via del Malgàr",38121,,"MEANO","Meano"
6457,"VIA CORTA","Via",,"córta","córta (Via)","Montevaccino, a destra di Strada di Montevaccino dopo Piazzale don Lorenzo Oberosler",38121,,,"Montevaccino"
2040,"VIA NICOLO' D'ARCO","Via","Nicolò","d'Arco","d'Arco Nicolò (Via)","a destra di Via Adamello dopo Viale N. Bolognini, fino a Via Bolghera",38122,,"OLTREFERSINA","Trento"
